generation,average_fitness,best_fitness,elite_average_fitness,fitness_scores
50,-262.72264804840086,-7.553921699523926,-228.47707557678223,"[-21.199756622314453, -435.75439453125, -9.828429222106934, -324.02301025390625, -745.7070922851562, -311.67047119140625, -440.2705993652344, -7.553921699523926, -8.881280899047852, -322.3375244140625]"
51,-241.0230212211609,-8.04993724822998,-395.67323780059814,"[-25.84781837463379, -765.4986572265625, -27.83640480041504, -14.943470001220703, -251.75881958007812, -8.04993724822998, -456.7933044433594, -129.92889404296875, -316.9189147949219, -412.65399169921875]"
52,-313.35892858505247,-4.917950630187988,-226.16776132583618,"[-447.4175720214844, -4.917950630187988, -132.1230010986328, -835.6607666015625, -435.9049377441406, -12.305961608886719, -325.1430969238281, -907.2125854492188, -9.307733535766602, -23.595680236816406]"
53,-425.684286403656,-14.349265098571777,-343.1814727783203,"[-429.71246337890625, -256.6504821777344, -350.17572021484375, -634.5911254882812, -14.349265098571777, -1060.708251953125, -108.69654083251953, -331.6994323730469, -747.832275390625, -322.42730712890625]"
54,-408.05254917144777,-21.404428482055664,-444.4875183105469,"[-434.17840576171875, -454.796630859375, -467.54461669921875, -149.18190002441406, -710.641845703125, -750.2225341796875, -136.8806915283203, -21.404428482055664, -636.4385986328125, -319.23583984375]"
55,-174.39775371551514,-12.564682006835938,-176.7352237701416,"[-332.66290283203125, -20.807544708251953, -12.564682006835938, -419.2496337890625, -129.87548828125, -231.62791442871094, -13.632368087768555, -428.6654357910156, -14.674053192138672, -140.21751403808594]"
56,-246.37624349594117,-13.828740119934082,-231.17686462402344,"[-331.2186279296875, -131.13510131835938, -317.19439697265625, -17.688425064086914, -337.7591857910156, -348.02056884765625, -13.828740119934082, -17.737934112548828, -926.761474609375, -22.417980194091797]"
57,-161.9543869972229,-15.065537452697754,-224.26655960083008,"[-330.0077209472656, -118.52539825439453, -90.6888427734375, -112.11553955078125, -15.065537452697754, -125.28910064697266, -394.2688903808594, -137.11903381347656, -167.07168579101562, -129.39212036132812]"
58,-257.8679239273071,-17.97902488708496,-376.3639221191406,"[-326.9637451171875, -425.76409912109375, -334.9746398925781, -25.300491333007812, -17.97902488708496, -657.3549194335938, -20.244976043701172, -318.3033447265625, -113.2936019897461, -338.5003967285156]"
59,-152.1104743003845,-11.283656120300293,-178.9418306350708,"[-27.692956924438477, -330.1907043457031, -127.87484741210938, -27.510364532470703, -11.283656120300293, -34.58189010620117, -594.6846313476562, -316.3583984375, -27.046939849853516, -23.880353927612305]"
60,-240.79417753219604,-9.46848201751709,-27.805810928344727,"[-40.3270378112793, -15.284584045410156, -589.0343017578125, -310.2735900878906, -114.80853271484375, -375.4058837890625, -104.46448516845703, -646.6797485351562, -9.46848201751709, -202.19512939453125]"
61,-193.9614004135132,-8.180795669555664,-71.35981845855713,"[-10.324586868286133, -132.39505004882812, -638.2213134765625, -334.7295227050781, -327.2840881347656, -43.622642517089844, -8.180795669555664, -318.1307373046875, -27.319368362426758, -99.40589904785156]"
62,-187.21026496887208,-11.154068946838379,-12.796136379241943,"[-13.636472702026367, -11.95580005645752, -333.0619812011719, -332.937255859375, -11.707809448242188, -143.5416259765625, -139.64712524414062, -11.154068946838379, -638.7593383789062, -235.701171875]"
63,-185.755784034729,-2.3914780616760254,-220.39188766479492,"[-121.18187713623047, -319.6018981933594, -213.58460998535156, -180.5758056640625, -2.3914780616760254, -7.61053466796875, -323.55401611328125, -228.8151092529297, -6.447558879852295, -453.7949523925781]"
64,-253.0453547000885,-5.755527973175049,-218.42651462554932,"[-16.543214797973633, -420.309814453125, -638.4407958984375, -134.56349182128906, -28.403308868408203, -437.404296875, -315.1803894042969, -117.46986389160156, -5.755527973175049, -416.3828430175781]"
65,-176.4717107772827,-11.461296081542969,-173.24218368530273,"[-16.431724548339844, -330.0526428222656, -11.461296081542969, -29.31156349182129, -124.96963500976562, -642.8980102539062, -15.418575286865234, -82.80145263671875, -332.8377990722656, -178.53440856933594]"
66,-194.846186542511,-6.352093696594238,-61.069297313690186,"[-110.90991973876953, -11.22867488861084, -40.95085906982422, -323.1377258300781, -8.784390449523926, -545.9541625976562, -30.746517181396484, -216.9256591796875, -6.352093696594238, -653.4718627929688]"
